user_input,reference_contexts,reference,synthesizer_name
AI agent trends in December 2024?,['[AI브리프 스페셜] AI 에이전트 동향2024년 12월호'],AI agent trends in December 2024 are covered in [AI브리프 스페셜] AI 에이전트 동향2024년 12월호.,single_hop_specifc_query_synthesizer
What is SPRi AI Brief Special?,['SPRi AI Brief Special | 2024-12월호\n1'],SPRi AI Brief Special is a publication from 2024-12월호.,single_hop_specifc_query_synthesizer
AI agent trends?,"['AI 에이전트 동향– 빅테크 기업의 AI 에이전트 사례를 중심으로 최근 생성형 AI의 확산과 함께 인간과 상호작용이 가능한 AI 에이전트에 대한 관심이 급증하고 있으며, 향후 몇 년 안에 관련 시장이 급속히 성장할 것으로 예상된다.']","Recently, with the spread of generative AI, interest in AI agents capable of interacting with humans is rapidly increasing, and the related market is expected to grow rapidly in the next few years.",single_hop_specifc_query_synthesizer
"Given the current market trends, what is the implication of major technology companies entering the AI agent market?",['빅테크 기업들이 AI 에이전트 시장에 잇따라 진출하며 다양한 수익 모델을 창출하고 있는 상황이다.'],Major technology companies are entering the AI agent market and creating various revenue models.,single_hop_specifc_query_synthesizer
"How does IBM define AI 에이전트 (AI Agents), and how is the rise of AI 에이전트 related to 기술 혁신 (Technological Innovation) in areas like cloud computing and AI algorithms?","['<1-hop>\n\n∙IBM은 AI 에이전트를 ‘워크플로를 설계하고 사용 가능한 도구를 활용하여 사용자 또는 다른 시스템을 대신하여 작업을 자율적으로 수행할 수 있는 시스템이나 프로그램’6)으로 정의 2) AI 에이전트의 부상 배경 £AI 에이전트는 AI 기술이 발전함에 따라 점차 많은 관심을 받고 있는 상황∙클라우드 컴퓨팅과 엣지 컴퓨팅의 발전은 AI 에이전트가 실시간으로 데이터를 처리하고 빠르게 의사결정을 내릴 수 있도록 지원∙강화 학습(reinforcement learning), 자연어 처리(NLP), 컴퓨터 비전 등의 분야에서 AI 알고리즘이 발전하면서, AI 에이전트가 더욱 정교한 의사결정을 수행하고 다양한 상황에서 유연한 대응이 가능∙고객서비스, 스마트홈, 산업 자동화 등에서 사용자와의 자연스러운 상호작용을 요구하는 환경이 늘어나면서 AI 에이전트의 수요가 확대£더불어 AI 에이전트 관련 새로운 시장 기회와 가능성에 대한 기대가 증대∙AI 에 이 전 트 는 고 객 서 비 스 와 개 인 비 서, 자 율 주 행 차 량, 스 마 트 팩 토 리 등 다 양 한 산 업 에 활 용 될 수 있 어서 시 장 기 회 확 대∙AI 에이전트는 개인화 서비스, 실시간 대응 및 상호작용 등 기존 기술로는 구현하기 어려운 혁신적인 서비스를 제공하여 새로운 부가 가치 창출 가능∙AI 에이전트 개발은 AI 기술의 발전뿐 아니라 데이터 과학, 컴퓨팅 하드웨어, 클라우드 인프라 등의 다양한 기술 생태계의 성장과도 밀접하게 연관되어 기술적, 경제적 성장 기회 창출 전망 3) AI 에이전트 시장 전망£시장조사기관인 Markets&Markets는 전 세계 AI 에이전트 시장이 2024년 51억 달러에서 2030년 471억 달러로 빠르게 성장할 것으로 예상하고, 연평균 성장률(CAGR)은 44.8%로 전망7)∙AI 에이전트들이 더욱 정교한 상호작용과 맥락 인식을 가능하게 하여 고객 서비스, 의료, 금융 분야에서의 활용이 증가하고, 다중 에이전트 시스템의 협력이 AI 시장 성장으로 주요 요인으로 작용 ∙AI 에이전트는 주로 NLP, 머신러닝, 컴퓨터 비전 등을 포함하며, 완전 자율부터 반자율 형태로 다양한 업무 자동화와 데이터 분석을 지원하는 소프트웨어로 사용5) Salesforce, What Are AI Agents? A Complete Guide, https://www.salesforce.com/agentforce/what-are-ai-agents/#what6) IBM, What are AI agents?, https://www.ibm.com/think/topics/ai-agents7) https://www.marketsandmarkets.com/Market-Reports/ai-agents-market-15761548.html', '<2-hop>\n\n앞으로 AI 에이전트는 기술 혁신과 사회 변화를 주도하는 핵심 요소로 자리 잡으며, 기업의 업무방식과 개인의 삶에 깊숙이 통합되어 획기적인 변화를 이끌어갈 것으로 전망된다.1. AI 에이전트(AI Agent)의 도입 및 부상 1) AI 에이전트의 정의 £AI 에이전트에 대한 합의된 학술적 정의는 부재하나, 관련 연구에서는 AI 에이전트를 단순한 AI 모델이나 알고리즘과 구별하여 설명하며, 특히 상호작용과 독립적인 의사결정 능력을 강조']","IBM defines AI 에이전트 as a system or program that can autonomously perform tasks on behalf of a user or other systems by designing workflows and utilizing available tools. The rise of AI 에이전트 is linked to technological innovation, as advancements in cloud and edge computing enable real-time data processing and rapid decision-making. Furthermore, progress in AI algorithms, such as reinforcement learning, NLP, and computer vision, allows AI 에이전트 to make more sophisticated decisions and respond flexibly in various situations.",multi_hop_abstract_query_synthesizer
What are AI agents and how do they relate to the concept of a rational agent as defined by Russell and Norvig?,"['<1-hop>\n\n∙알란 찬(ALan Chan) 등은 2024년 발간된 연구논문인 ‘AI 에이전트에 대한 가시성’2)에서 많은 AI 개발자들이 더 큰 자율성, 외부 도구나 서비스 접근, 장기적 목표 달성을 위해 안정적으로 적응하고 계획하며 지속적 행동할 수 있는 능력 향상을 갖춘 시스템을 제작하고 있다고 설명하면서 이러한 시스템에 대해 AI 에이전트(AI agents 또는 agentic systems)라고 지칭\n1) Russell, S. J., & Norvig, P. Artificial Intelligence: A Modern Approach (4th ed.).', '<2-hop>\n\n∙스튜어트 러셀(Stuart Russell)과 피터 노비그(Peter Norvig)는 2021년 출판한 저서 ‘인공지능 – 현대적 접근법’에서 에이전트(Agent)는 센서를 통해 환경을 인식하고 센서가 액추에이터를 통해 해당 환경에 작용하는 것으로, 합리적 에이전트(Rational Agent)는 최선의 결과를 달성하기 위해 행동하거나, 불확실성이 있는 경우 최선의 기대 결과를 얻기 위해 행동하는 행위자로 정의1)']","According to Alan Chan et al. in their 2024 research paper \""Visibility on AI Agents,\"" many AI developers are creating systems with greater autonomy, access to external tools and services, and the ability to adapt, plan, and act persistently to achieve long-term goals. These systems are referred to as AI agents or agentic systems. Stuart Russell and Peter Norvig, in their 2021 book \""Artificial Intelligence: A Modern Approach,\"" define an agent as something that perceives its environment through sensors and acts on that environment through actuators. A rational agent acts to achieve the best outcome or, in cases of uncertainty, the best expected outcome.",multi_hop_abstract_query_synthesizer
"Azkording too Stuert Russel and Peter Norvig, how do they define an AI 에이전트 (AI Agent) or simply, an Agent, in terms of its interaction with the environment and what charactaristics make it a rational AI agents, and how does this definition relate to Salesforce's understanding of AI agents and their capabilites?","['<1-hop>\n\n∙세일즈포스는 AI 에이전트를 “인간의 개입 없이 고객 문의를 이해하고 응답할 수 있는 일종의 인공지능 시스템”5)으로 정의3) Gartner, Intelligent Agents in AI Really Can Work Alone. Here’s How, 2024.10.14) ISO, ISO/IEC DIS 22989(en), https://www.iso.org/obp/ui/#iso:std:iso-iec:22989:dis:ed-1:v1:en:sec:3.1.2', '<2-hop>\n\n앞으로 AI 에이전트는 기술 혁신과 사회 변화를 주도하는 핵심 요소로 자리 잡으며, 기업의 업무방식과 개인의 삶에 깊숙이 통합되어 획기적인 변화를 이끌어갈 것으로 전망된다.1. AI 에이전트(AI Agent)의 도입 및 부상 1) AI 에이전트의 정의 £AI 에이전트에 대한 합의된 학술적 정의는 부재하나, 관련 연구에서는 AI 에이전트를 단순한 AI 모델이나 알고리즘과 구별하여 설명하며, 특히 상호작용과 독립적인 의사결정 능력을 강조', '<3-hop>\n\n∙스튜어트 러셀(Stuart Russell)과 피터 노비그(Peter Norvig)는 2021년 출판한 저서 ‘인공지능 – 현대적 접근법’에서 에이전트(Agent)는 센서를 통해 환경을 인식하고 센서가 액추에이터를 통해 해당 환경에 작용하는 것으로, 합리적 에이전트(Rational Agent)는 최선의 결과를 달성하기 위해 행동하거나, 불확실성이 있는 경우 최선의 기대 결과를 얻기 위해 행동하는 행위자로 정의1)']","According to Stuart Russell and Peter Norvig, as described in their 2021 book \'인공지능 – 현대적 접근법,\' an Agent perceives its environment through sensors and acts upon it through actuators. A rational Agent is defined as an actor that behaves to achieve the best possible outcome or, in situations of uncertainty, acts to obtain the best expected outcome. Salesforce defines AI 에이전트 (AI Agent) as a type of artificial intelligence system capable of understanding and responding to customer inquiries without human intervention.",multi_hop_abstract_query_synthesizer
What is the North America AI Agent Market share and how are AI agents defined?,"['<1-hop>\n\n∙(지역) 북미 AI 에이전트 시장은 2023년 40.0%가 넘는 매출 점유율로 글로벌 산업을 주도했으며, Google, Microsoft, IBM Corporation을 포함한 주요 기술 회사가 AI 에이전트 기술 개발을 선도하고, 스타트업 생태계를 보유하고 있어 금융 및 교육과 같은 다양한 부문에서 AI 에이전트 발전을 촉진∙(산업) 의료 부문은 2030년까지 가장 높은 CAGR을 보일 것으로 예상되며, 환자 참여 개선, 운영 효율성, 향상된 진단 및 의사 결정 지원, 웨어러블 기기와의 통합과 같은 다양한 요인이 의료 부문의 성장을 주도\n8) Grand View Research, https://www.grandviewresearch.com/industry-analysis/ai-agents-market-report9) Grand View Research, https://www.grandviewresearch.com/industry-analysis/ai-agents-market-report', '<2-hop>\n\n∙IBM은 AI 에이전트를 ‘워크플로를 설계하고 사용 가능한 도구를 활용하여 사용자 또는 다른 시스템을 대신하여 작업을 자율적으로 수행할 수 있는 시스템이나 프로그램’6)으로 정의 2) AI 에이전트의 부상 배경 £AI 에이전트는 AI 기술이 발전함에 따라 점차 많은 관심을 받고 있는 상황∙클라우드 컴퓨팅과 엣지 컴퓨팅의 발전은 AI 에이전트가 실시간으로 데이터를 처리하고 빠르게 의사결정을 내릴 수 있도록 지원∙강화 학습(reinforcement learning), 자연어 처리(NLP), 컴퓨터 비전 등의 분야에서 AI 알고리즘이 발전하면서, AI 에이전트가 더욱 정교한 의사결정을 수행하고 다양한 상황에서 유연한 대응이 가능∙고객서비스, 스마트홈, 산업 자동화 등에서 사용자와의 자연스러운 상호작용을 요구하는 환경이 늘어나면서 AI 에이전트의 수요가 확대£더불어 AI 에이전트 관련 새로운 시장 기회와 가능성에 대한 기대가 증대∙AI 에 이 전 트 는 고 객 서 비 스 와 개 인 비 서, 자 율 주 행 차 량, 스 마 트 팩 토 리 등 다 양 한 산 업 에 활 용 될 수 있 어서 시 장 기 회 확 대∙AI 에이전트는 개인화 서비스, 실시간 대응 및 상호작용 등 기존 기술로는 구현하기 어려운 혁신적인 서비스를 제공하여 새로운 부가 가치 창출 가능∙AI 에이전트 개발은 AI 기술의 발전뿐 아니라 데이터 과학, 컴퓨팅 하드웨어, 클라우드 인프라 등의 다양한 기술 생태계의 성장과도 밀접하게 연관되어 기술적, 경제적 성장 기회 창출 전망 3) AI 에이전트 시장 전망£시장조사기관인 Markets&Markets는 전 세계 AI 에이전트 시장이 2024년 51억 달러에서 2030년 471억 달러로 빠르게 성장할 것으로 예상하고, 연평균 성장률(CAGR)은 44.8%로 전망7)∙AI 에이전트들이 더욱 정교한 상호작용과 맥락 인식을 가능하게 하여 고객 서비스, 의료, 금융 분야에서의 활용이 증가하고, 다중 에이전트 시스템의 협력이 AI 시장 성장으로 주요 요인으로 작용 ∙AI 에이전트는 주로 NLP, 머신러닝, 컴퓨터 비전 등을 포함하며, 완전 자율부터 반자율 형태로 다양한 업무 자동화와 데이터 분석을 지원하는 소프트웨어로 사용5) Salesforce, What Are AI Agents? A Complete Guide, https://www.salesforce.com/agentforce/what-are-ai-agents/#what6) IBM, What are AI agents?, https://www.ibm.com/think/topics/ai-agents7) https://www.marketsandmarkets.com/Market-Reports/ai-agents-market-15761548.html', '<3-hop>\n\n∙알란 찬(ALan Chan) 등은 2024년 발간된 연구논문인 ‘AI 에이전트에 대한 가시성’2)에서 많은 AI 개발자들이 더 큰 자율성, 외부 도구나 서비스 접근, 장기적 목표 달성을 위해 안정적으로 적응하고 계획하며 지속적 행동할 수 있는 능력 향상을 갖춘 시스템을 제작하고 있다고 설명하면서 이러한 시스템에 대해 AI 에이전트(AI agents 또는 agentic systems)라고 지칭\n1) Russell, S. J., & Norvig, P. Artificial Intelligence: A Modern Approach (4th ed.).']",The North America AI 에이전트 (AI Agents) market led the global industry in 2023 with a revenue share of over 40.0%. IBM defines AI agents as systems or programs that can autonomously perform tasks on behalf of a user or other systems by designing workflows and utilizing available tools.,multi_hop_abstract_query_synthesizer
"What is AI 에이전트 definition and how AI 에이전트 시장 전망(2024~2023) and how AI 에이전트 주도하는 핵심 요소로 자리 잡으며, 기업의 업무방식과 개인의 삶에 깊숙이 통합?","['<1-hop>\n\n<AI 에이전트 시장 전망(2024~2023)>', '<2-hop>\n\n앞으로 AI 에이전트는 기술 혁신과 사회 변화를 주도하는 핵심 요소로 자리 잡으며, 기업의 업무방식과 개인의 삶에 깊숙이 통합되어 획기적인 변화를 이끌어갈 것으로 전망된다.1. AI 에이전트(AI Agent)의 도입 및 부상 1) AI 에이전트의 정의 £AI 에이전트에 대한 합의된 학술적 정의는 부재하나, 관련 연구에서는 AI 에이전트를 단순한 AI 모델이나 알고리즘과 구별하여 설명하며, 특히 상호작용과 독립적인 의사결정 능력을 강조']","AI 에이전트에 대한 합의된 학술적 정의는 부재하나, 관련 연구에서는 AI 에이전트를 단순한 AI 모델이나 알고리즘과 구별하여 설명하며, 특히 상호작용과 독립적인 의사결정 능력을 강조. 앞으로 AI 에이전트는 기술 혁신과 사회 변화를 주도하는 핵심 요소로 자리 잡으며, 기업의 업무방식과 개인의 삶에 깊숙이 통합되어 획기적인 변화를 이끌어갈 것으로 전망된다.",multi_hop_specific_query_synthesizer
"Accoring 2 Gartner, how do salesforce define AI agents?","['<1-hop>\n\n※ 출처: Gartner, Intelligent Agents in AI Really Can Work Alone. Here’s How, 2024.10.1£ISO/IEC는 AI 관련 표준에서 에이전트(Agent)와 AI 에이전트(AI Agent)를 구분하여 정의', '<2-hop>\n\n∙세일즈포스는 AI 에이전트를 “인간의 개입 없이 고객 문의를 이해하고 응답할 수 있는 일종의 인공지능 시스템”5)으로 정의3) Gartner, Intelligent Agents in AI Really Can Work Alone. Here’s How, 2024.10.14) ISO, ISO/IEC DIS 22989(en), https://www.iso.org/obp/ui/#iso:std:iso-iec:22989:dis:ed-1:v1:en:sec:3.1.2']","According to Gartner, Salesforce defines AI agents as ""a type of artificial intelligence system that can understand and respond to customer inquiries without human intervention.""",multi_hop_specific_query_synthesizer
