ID,Taste,Ambiance,Service,Worth_the_price,Menu_variety,Hygienic,Vegan_options,Smoking_area,Parking,Pet_friendly,Description
REST_001,60,60,65,no,61,65,yes,yes,yes,no,"REST_001는 맛 점수 보통, 분위기 보통, 서비스 보통로 평가됩니다. 메뉴 다양성은 보통, 위생 점수는 보통입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 있음, 반려동물: 불가."
REST_002,75,71,69,no,78,78,no,yes,no,no,"REST_002는 맛 점수 보통, 분위기 보통, 서비스 보통로 평가됩니다. 메뉴 다양성은 보통, 위생 점수는 보통입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 없음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 불가."
REST_003,80,85,79,no,85,85,no,yes,yes,yes,"REST_003는 맛 점수 좋음, 분위기 좋음, 서비스 보통로 평가됩니다. 메뉴 다양성은 좋음, 위생 점수는 좋음입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 없음, 흡연구역: 있음, 주차공간: 있음, 반려동물: 가능."
REST_004,90,20,90,no,20,50,yes,no,yes,yes,"REST_004는 맛 점수 매우 좋음, 분위기 비추, 서비스 매우 좋음로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 없음, 주차공간: 있음, 반려동물: 가능."
REST_005,98,98,98,no,98,98,no,no,no,yes,"REST_005는 맛 점수 매우 좋음, 분위기 매우 좋음, 서비스 매우 좋음로 평가됩니다. 메뉴 다양성은 매우 좋음, 위생 점수는 매우 좋음입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 없음, 흡연구역: 없음, 주차공간: 없음, 반려동물: 가능."
REST_006,23,47,50,no,26,28,no,no,yes,no,"REST_006는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 없음, 흡연구역: 없음, 주차공간: 있음, 반려동물: 불가."
REST_007,20,20,22,no,40,40,yes,yes,yes,no,"REST_007는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 있음, 반려동물: 불가."
REST_008,31,31,21,no,36,36,yes,yes,no,no,"REST_008는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 불가."
REST_009,49,49,20,no,26,31,no,no,no,yes,"REST_009는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 없음, 흡연구역: 없음, 주차공간: 없음, 반려동물: 가능."
REST_010,80,80,80,yes,80,80,no,yes,yes,no,"REST_010는 맛 점수 좋음, 분위기 좋음, 서비스 좋음로 평가됩니다. 메뉴 다양성은 좋음, 위생 점수는 좋음입니다. 가격 대비 가치 점수는 좋음,비건옵션: 없음, 흡연구역: 있음, 주차공간: 있음, 반려동물: 불가."
